ID,Titulo,PS4,PS5,Tipo,Consola,URL,Venta
666,Dying Light - Essentials Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202603/0308/63ac1d0e60a2dc6f3536a94100dd02fa934ad4e792dbd862.png?w=1024&,
666,Dying Light - Essentials Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202603/0308/63ac1d0e60a2dc6f3536a94100dd02fa934ad4e792dbd862.png?w=1024&,
666,Dying Light - Essentials Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202603/0308/63ac1d0e60a2dc6f3536a94100dd02fa934ad4e792dbd862.png?w=1024&,
669,Dying Light Definitive Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202510/2310/8892b3ed5b317177580ceded686e1b75e99072af61a93c1b.png?w=1024&,
685,Fallout 4,show,show,Primaria,PS5,https://image.api.playstation.com/cdn/UP1003/CUSA02557_00/j4PdxSxO3optsrP1SxnAqdq6qCmYPd9x.png?w=1024&,
685,Fallout 4,show,show,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1003/CUSA02557_00/j4PdxSxO3optsrP1SxnAqdq6qCmYPd9x.png?w=1024&,
685,Fallout 4,show,show,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1003/CUSA02557_00/j4PdxSxO3optsrP1SxnAqdq6qCmYPd9x.png?w=1024&,
699,Far Cry 3 Classic Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0001/CUSA10357_00/YoJmqdJ3jDHz0ZQI6DrkzofAXaATiA8K.png?w=1024&,
699,Far Cry 3 Classic Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP0001/CUSA10357_00/YoJmqdJ3jDHz0ZQI6DrkzofAXaATiA8K.png?w=1024&,
695,Far Cry 6 Game of the Year Edition,show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&,
695,Far Cry 6 Game of the Year Edition,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&,
695,Far Cry 6 Game of the Year Edition,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202211/2908/NpZIOIAOlmo7Xux0EIhKg6j3.png?w=1024&,3.6
1173,Far Cry 6: Gold Edition PS4 & PS5,show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/img/rnd/202109/1314/g98aC9BvIoQhD4AqZVpRCa90.png?w=1024&,
1173,Far Cry 6: Gold Edition PS4 & PS5,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/img/rnd/202109/1314/g98aC9BvIoQhD4AqZVpRCa90.png?w=1024&,
1173,Far Cry 6: Gold Edition PS4 & PS5,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/img/rnd/202109/1314/g98aC9BvIoQhD4AqZVpRCa90.png?w=1024&,
710,Forza Horizon 5 Deluxe Edition,hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202502/0323/dd48c217bdc1f833c68a2b02a1df330372f664faa860d762.png?w=1024&,
719,God of War Ragnar�k Digital Deluxe Edition,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202207/1117/atvwj6aoIQyXIlOrDpOw3LO4.png?w=1024&,
719,God of War Ragnar�k Digital Deluxe Edition,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202207/1117/atvwj6aoIQyXIlOrDpOw3LO4.png?w=1024&,
725,Grand Theft Auto Online (PlayStation5),hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202202/2816/mYn2ETBKFct26V9mJnZi4aSS.png?w=1024&,
728,Grand Theft Auto V (PS4 & PS5),show,show,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202203/1409/oltI7Zc96usbdvhVVXcV1EAi.png?w=1024&,
728,Grand Theft Auto V (PS4 & PS5),show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202203/1409/oltI7Zc96usbdvhVVXcV1EAi.png?w=1024&,
728,Grand Theft Auto V (PS4 & PS5),show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202203/1409/oltI7Zc96usbdvhVVXcV1EAi.png?w=1024&,
728,Grand Theft Auto V (PS4 & PS5),show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202203/1409/oltI7Zc96usbdvhVVXcV1EAi.png?w=1024&,
743,Hogwarts Legacy: Digital Deluxe Edition,show,show,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202503/2716/f9a88585e037ba158ae7d2bae82c1554510958dd206788d5.png?w=1024&,
1147,Injustice 2,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/img/cfn/11307E5KevhsRf1A5fO5J5E6EyFwwYnr6PfrU-17MkMzM7lQz-m0j3Ozngwgx2dRUSpQNOHegfxi7c8dz9nl2DtRdkwDstMw.png?w=1024&,
1147,Injustice 2,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/img/cfn/11307E5KevhsRf1A5fO5J5E6EyFwwYnr6PfrU-17MkMzM7lQz-m0j3Ozngwgx2dRUSpQNOHegfxi7c8dz9nl2DtRdkwDstMw.png?w=1024&,
1147,Injustice 2,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/img/cfn/11307E5KevhsRf1A5fO5J5E6EyFwwYnr6PfrU-17MkMzM7lQz-m0j3Ozngwgx2dRUSpQNOHegfxi7c8dz9nl2DtRdkwDstMw.png?w=1024&,2.5
755,Injustice 2 - Legendary Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA10992_00/yvD6OvUcyKOjdWMRwWAtJuZ7tKWQ6VHv.png?w=1024&,
755,Injustice 2 - Legendary Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1018/CUSA10992_00/yvD6OvUcyKOjdWMRwWAtJuZ7tKWQ6VHv.png?w=1024&,
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&,7.0
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&,
1026,Tom Clancy�s Ghost Recon Wildlands Standard Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP0001/CUSA02902_00/LmixBxp3eIPxu3vc1y4Bxx3UIc3l6rzx.png?w=1024&,5.0
754,Injustice: Gods Among Us Ultimate Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00079_00/aIeLur6wr7JwyUo5wHPf4yX2sAM1DH19.png?w=1024&,
757,It Takes Two PS4 & PS5,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202012/0815/7CRynuLSAb0vysSC4TmZy5e4.png?w=1024&,
757,It Takes Two PS4 & PS5,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202012/0815/7CRynuLSAb0vysSC4TmZy5e4.png?w=1024&,
1179,Kingdom Come: Deliverance,show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202602/0313/8d0a12037596ef54fb9f7e79bd77bca4942df26119014b2c.png?w=1024&,
1179,Kingdom Come: Deliverance,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202602/0313/8d0a12037596ef54fb9f7e79bd77bca4942df26119014b2c.png?w=1024&,
769,Kingdoms of Amalur: Re-Reckoning,show,hide,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202006/2610/7j1GUXdvOGPoLaaQRt2J2viK.png?w=1024&,
769,Kingdoms of Amalur: Re-Reckoning,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202006/2610/7j1GUXdvOGPoLaaQRt2J2viK.png?w=1024&,
769,Kingdoms of Amalur: Re-Reckoning,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202006/2610/7j1GUXdvOGPoLaaQRt2J2viK.png?w=1024&,
785,Life is Strange Remastered Collection,show,hide,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202105/1412/bJYCCmymxvgviuuolfOx8srg.png?w=1024&,
785,Life is Strange Remastered Collection,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202105/1412/bJYCCmymxvgviuuolfOx8srg.png?w=1024&,
785,Life is Strange Remastered Collection,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202105/1412/bJYCCmymxvgviuuolfOx8srg.png?w=1024&,
787,LIMBO & INSIDE Bundle,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202011/3008/WfGeHsHCYoPqM5Ux9HFrT1AR.png?w=1024&,
787,LIMBO & INSIDE Bundle,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202011/3008/WfGeHsHCYoPqM5Ux9HFrT1AR.png?w=1024&,
792,Lords of the Fallen Deluxe Edition,hide,show,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202308/2308/e3e15c28b56aa40ea81bd6cd0218a056cbad1b6867793c80.png?w=1024&,
792,Lords of the Fallen Deluxe Edition,hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202308/2308/e3e15c28b56aa40ea81bd6cd0218a056cbad1b6867793c80.png?w=1024&,
792,Lords of the Fallen Deluxe Edition,hide,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202308/2308/e3e15c28b56aa40ea81bd6cd0218a056cbad1b6867793c80.png?w=1024&,
793,Mafia II: Definitive Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/img/cfn/11307DO9eedqhwWEmMN0CoZLz2VcrH3OyC6eMxeIuCeBshFIj2P6aNDOrufsNFbgDdF_wLuzCAaDxbEk0rJobfXb7RUI73Ur.png?w=1024&,
793,Mafia II: Definitive Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/img/cfn/11307DO9eedqhwWEmMN0CoZLz2VcrH3OyC6eMxeIuCeBshFIj2P6aNDOrufsNFbgDdF_wLuzCAaDxbEk0rJobfXb7RUI73Ur.png?w=1024&,
793,Mafia II: Definitive Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/img/cfn/11307DO9eedqhwWEmMN0CoZLz2VcrH3OyC6eMxeIuCeBshFIj2P6aNDOrufsNFbgDdF_wLuzCAaDxbEk0rJobfXb7RUI73Ur.png?w=1024&,
1081,Mafia: Trilogy,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202009/0902/7CAOfTFXzgypO4TWHnWtQstC.png?w=1024&,
1081,Mafia: Trilogy,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202009/0902/7CAOfTFXzgypO4TWHnWtQstC.png?w=1024&,
1081,Mafia: Trilogy,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202009/0902/7CAOfTFXzgypO4TWHnWtQstC.png?w=1024&,
806,METAL SLUG ANTHOLOGY,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0576/CUSA03749_00/ImHDRENlttkdiXlm3K8ejNVgLURd3uTw.png?w=1024&,
806,METAL SLUG ANTHOLOGY,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP0576/CUSA03749_00/ImHDRENlttkdiXlm3K8ejNVgLURd3uTw.png?w=1024&,
806,METAL SLUG ANTHOLOGY,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP0576/CUSA03749_00/ImHDRENlttkdiXlm3K8ejNVgLURd3uTw.png?w=1024&,
813,Metro Exodus,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/img/rnd/202010/2814/jhNIE3yH1SNEe9CmxTVHAdme.png?w=1024&,
813,Metro Exodus,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/img/rnd/202010/2814/jhNIE3yH1SNEe9CmxTVHAdme.png?w=1024&,
812,Middle-earth: Shadow of Mordor - Game of the Year Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA01939_00/FLeJUgiFE7zF7bfdcajTozv07lX1R0LF.png?w=1024&,
812,Middle-earth: Shadow of Mordor - Game of the Year Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA01939_00/FLeJUgiFE7zF7bfdcajTozv07lX1R0LF.png?w=1024&,
812,Middle-earth: Shadow of Mordor - Game of the Year Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1018/CUSA01939_00/FLeJUgiFE7zF7bfdcajTozv07lX1R0LF.png?w=1024&,
815,Middle-earth: Shadow of War,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA04408_00/H22G15Alh9YRC8aVCGTRk1SmIXimOYsg.png?w=1024&,
1114,Middle-earth: Shadow of War Definitive Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA04439_00/OqChuTHT6ANrFH7PgjlOTelLPqmOBSMn.png?w=1024&,
1114,Middle-earth: Shadow of War Definitive Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA04439_00/OqChuTHT6ANrFH7PgjlOTelLPqmOBSMn.png?w=1024&,
1114,Middle-earth: Shadow of War Definitive Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1018/CUSA04439_00/OqChuTHT6ANrFH7PgjlOTelLPqmOBSMn.png?w=1024&,
817,Middle-earth: The Shadow Bundle,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202110/2600/WSkix0tJlfF141wAlSbZQCAb.png?w=1024&,
817,Middle-earth: The Shadow Bundle,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202110/2600/WSkix0tJlfF141wAlSbZQCAb.png?w=1024&,
817,Middle-earth: The Shadow Bundle,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202110/2600/WSkix0tJlfF141wAlSbZQCAb.png?w=1024&,
819,Minecraft,hide,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202407/0401/670c294ded3baf4fa11068db2ec6758c63f7daeb266a35a1.png?w=1024&,
1073,MLB The Show 23 PS4,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202301/2100/ksGvOUolBKzauHyiPalnLUKN.png?w=1024&,
841,Mortal Kombat 1: Definitive Edition,hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202505/0121/580864f66738607a1425a3d7814efb6ea609d0b035c368b5.png?w=1024&,
836,Mortal Kombat 11 Ultimate PS4 & PS5,show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&,3.5
836,Mortal Kombat 11 Ultimate PS4 & PS5,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&,
836,Mortal Kombat 11 Ultimate PS4 & PS5,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202010/0822/SbTOirUJUZ3oNQG0eGDZAuCr.png?w=1024&,2.5
837,Mortal Kombat X,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00967_00/5qUomx38PSHOJ5Krej4YQYkPmfqSonCW.png?w=1024&,
837,Mortal Kombat X,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA00967_00/5qUomx38PSHOJ5Krej4YQYkPmfqSonCW.png?w=1024&,
837,Mortal Kombat X,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1018/CUSA00967_00/5qUomx38PSHOJ5Krej4YQYkPmfqSonCW.png?w=1024&,
839,Mortal Kombat XL,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA03589_00/ezdXAsaNqjRSG19ujCjT1p1KqoI67wDO.png?w=1024&,
839,Mortal Kombat XL,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1018/CUSA03589_00/ezdXAsaNqjRSG19ujCjT1p1KqoI67wDO.png?w=1024&,
843,MudRunner - American Wilds Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP4133/CUSA09936_00/zgWd62VcyTyAE1jE3JFcLY1hFftyBIez.png?w=1024&,
843,MudRunner - American Wilds Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP4133/CUSA09936_00/zgWd62VcyTyAE1jE3JFcLY1hFftyBIez.png?w=1024&,
843,MudRunner - American Wilds Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP4133/CUSA09936_00/zgWd62VcyTyAE1jE3JFcLY1hFftyBIez.png?w=1024&,
856,NBA 2K26 for PS5,show,show,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ec1eec85d9130210701491db769cb9874cc09f6512ebca20.png?w=1024&,
856,NBA 2K26 for PS5,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ec1eec85d9130210701491db769cb9874cc09f6512ebca20.png?w=1024&,
856,NBA 2K26 for PS5,show,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202506/2509/ec1eec85d9130210701491db769cb9874cc09f6512ebca20.png?w=1024&,
859,Need for Speed Deluxe Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA01925_00/RxeNb9Ph1y2VhBGv5Ct0tuY6f5xC4t9f.png?w=1024&,
859,Need for Speed Deluxe Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA01925_00/RxeNb9Ph1y2VhBGv5Ct0tuY6f5xC4t9f.png?w=1024&,
